name,position,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.ev,assist1.ev,assist2.ev,points.ev,gfev,gaev,gfpp,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.GA,team.GA.EV,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,pos.clean,height,BD.Mod,birth.year,draft.end,draft.year,draft.season,draft.eligible
Marcus Crawford,D,Saginaw Spirit,1997-03-21,68,228,13,16,24,53,7,6,9,22,5,10,12,27,71,74,31,2017-18 Regular Season,106,109,2584,2584,194,185,145,524,218,161,39,39,38,116,136,131,98,365,D,5.11,1997-03-21,1997,1997-09-15,2015,2018,N
Ryan Moore,C,Flint Firebirds,1997-04-09,63,176,18,21,21,60,3,3,6,12,15,17,15,47,60,61,17,2017-18 Regular Season,74,79,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,F,5.08,1997-04-09,1997,1997-09-15,2015,2018,N
Liam Murray,D,Kingston Frontenacs,1997-06-28,63,63,1,4,3,8,0,0,0,0,1,3,3,7,47,56,0,2017-18 Regular Season,78,52,2584,2584,240,218,178,636,198,145,56,56,52,164,171,152,121,444,D,6.00,1997-06-28,1997,1997-09-15,2015,2018,N
Justin Lemcke,D,Hamilton Bulldogs,1997-02-13,59,107,9,6,11,26,3,4,1,8,6,2,10,18,55,35,11,2017-18 Regular Season,56,71,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,D,6.02,1997-02-13,1997,1997-09-15,2015,2018,N
Aaron Luchuk,C,Barrie Colts,1997-04-05,68,281,50,36,29,115,16,10,11,37,30,21,18,69,92,62,46,2017-18 Regular Season,103,152,2584,2584,213,187,141,541,209,161,35,33,29,97,166,145,107,418,F,5.10,1997-04-05,1997,1997-09-15,2015,2018,N
Hayden McCool,LW,Oshawa Generals,1997-04-11,59,108,15,7,8,30,3,1,2,6,8,6,5,19,31,32,14,2017-18 Regular Season,52,55,2584,2584,247,221,166,634,250,168,54,54,49,157,168,154,113,435,F,6.03,1997-04-11,1997,1997-09-15,2015,2018,N
Brett McKenzie,C,North Bay Battalion,1997-03-12,64,244,22,17,10,49,6,6,5,17,14,9,5,28,52,56,34,2017-18 Regular Season,85,93,2584,2584,286,262,200,748,257,182,56,55,53,164,203,186,140,529,F,6.01,1997-03-12,1997,1997-09-15,2015,2018,N
Matthew Kreis,LW,Saginaw Spirit,1997-08-01,9,23,1,1,1,3,1,0,0,1,0,1,1,2,3,7,2,2017-18 Regular Season,8,5,2584,2584,194,185,145,524,218,161,39,39,38,116,136,131,98,365,F,5.11,1997-08-01,1997,1997-09-15,2015,2018,N
Tyler MacArthur,D,Barrie Colts,1997-05-25,5,2,0,1,0,1,0,0,0,0,0,0,0,0,5,5,0,2017-18 Regular Season,6,6,2584,2584,296,280,213,789,273,187,62,61,55,178,203,195,147,545,D,6.04,1997-05-25,1997,1997-09-15,2015,2018,N
Ethan Szypula,C,Owen Sound Attack,1997-01-28,67,177,19,25,12,56,5,4,3,12,12,20,8,40,60,55,19,2017-18 Regular Season,74,83,2584,2584,286,262,200,748,257,182,56,55,53,164,203,186,140,529,F,5.11,1997-01-28,1997,1997-09-15,2015,2018,N
Mason Kohn,LW,Oshawa Generals,1997-05-03,64,159,20,19,15,54,5,5,7,17,10,10,4,24,36,38,20,2017-18 Regular Season,69,69,2584,2584,194,185,145,524,218,161,39,39,38,116,136,131,98,365,F,6.00,1997-05-03,1997,1997-09-15,2015,2018,N
