Season,Name,Position,Draft.Eligible,Team,Birth Date,GP,EVG,EVA1,EVA2,EVPTS,Team.EVPTS,OI.EVGF,OI.EVGA,EVGF.PERC,TEAM.EVGF.PERC,EVGF.PERC.REL,PRIMARY.EVPTS,TEAM.PRIMARY.EVPTS,PERC.TEAM.EVPrPTS,IPP.EV,IPPP.EV
2017-18 Regular Season,Marcus Crawford,D,N,Saginaw Spirit,1997-03-21,68,5,10,12,27,365,71,74,0.49,0.46,0.03,15,267,0.06,0.38,0.21
2017-18 Regular Season,Ryan Moore,F,N,Flint Firebirds,1997-04-09,63,15,17,15,47,468,60,61,0.5,0.55,-0.05,32,340,0.09,0.78,0.53
2017-18 Regular Season,Liam Murray,D,N,Kingston Frontenacs,1997-06-28,63,1,3,3,7,444,47,56,0.46,0.54,-0.08,4,323,0.01,0.15,0.09
2017-18 Regular Season,Justin Lemcke,D,N,Hamilton Bulldogs,1997-02-13,59,6,2,10,18,468,55,35,0.61,0.55,0.06,8,340,0.02,0.33,0.15
2017-18 Regular Season,Aaron Luchuk,F,N,Barrie Colts,1997-04-05,68,30,21,18,69,418,92,62,0.6,0.51,0.09,51,311,0.16,0.75,0.55
2017-18 Regular Season,Hayden McCool,F,N,Oshawa Generals,1997-04-11,59,8,6,5,19,435,31,32,0.49,0.5,-0.01,14,322,0.04,0.61,0.45
2017-18 Regular Season,Brett McKenzie,F,N,North Bay Battalion,1997-03-12,64,14,9,5,28,529,52,56,0.48,0.53,-0.05,23,389,0.06,0.54,0.44
2017-18 Regular Season,Matthew Kreis,F,N,Saginaw Spirit,1997-08-01,9,0,1,1,2,365,3,7,0.3,0.46,-0.16,1,267,0,0.67,0.33
2017-18 Regular Season,Tyler MacArthur,D,N,Barrie Colts,1997-05-25,5,0,0,0,0,545,5,5,0.5,0.52,-0.02,0,398,0,0,0
2017-18 Regular Season,Ethan Szypula,F,N,Owen Sound Attack,1997-01-28,67,12,20,8,40,529,60,55,0.52,0.53,-0.01,32,389,0.08,0.67,0.53
2017-18 Regular Season,Mason Kohn,F,N,Oshawa Generals,1997-05-03,64,10,10,4,24,365,36,38,0.49,0.46,0.03,20,267,0.07,0.67,0.56
2017-18 Regular Season,Doug Blaisdell,D,N,Kitchener Rangers,1997-02-20,66,0,5,8,13,479,53,62,0.46,0.54,-0.08,5,352,0.01,0.25,0.09
2017-18 Regular Season,Garrett McFadden,D,N,Guelph Storm,1997-08-21,68,1,7,12,20,411,63,91,0.41,0.46,-0.05,8,301,0.03,0.32,0.13
2017-18 Regular Season,Connor Schlichting,D,N,Sarnia Sting,1997-05-17,67,4,6,15,25,553,88,58,0.6,0.55,0.05,10,411,0.02,0.28,0.11
2017-18 Regular Season,Nikita Korostelev,F,N,Peterborough Petes,1997-02-08,64,20,14,3,37,363,54,62,0.47,0.45,0.02,34,278,0.12,0.69,0.63
2017-18 Regular Season,Riley Bruce,D,N,North Bay Battalion,1997-07-16,67,3,1,5,9,371,65,72,0.47,0.47,0,4,281,0.01,0.14,0.06
2017-18 Regular Season,Sean Day,D,N,Kingston Frontenacs,1998-01-09,50,2,8,9,19,418,59,60,0.5,0.51,-0.01,10,311,0.03,0.32,0.17
2017-18 Regular Season,Johnny Corneil,F,N,Niagara IceDogs,1997-08-16,64,16,15,8,39,432,58,35,0.62,0.49,0.13,31,316,0.1,0.67,0.53
2017-18 Regular Season,Maurizio Colella,F,N,Flint Firebirds,1997-03-21,67,16,11,8,35,320,57,81,0.41,0.42,-0.01,27,247,0.11,0.61,0.47
2017-18 Regular Season,Connor Walters,D,N,Hamilton Bulldogs,1997-06-05,56,3,5,2,10,468,35,36,0.49,0.55,-0.06,8,340,0.02,0.29,0.23
2017-18 Regular Season,Ted Nichol,F,N,Kingston Frontenacs,1997-01-04,68,4,16,6,26,444,36,61,0.37,0.54,-0.17,20,323,0.06,0.72,0.56
2017-18 Regular Season,Hayden Verbeek,F,N,Sault Ste. Marie Greyhounds,1997-10-17,67,23,11,11,45,568,60,41,0.59,0.54,0.05,34,411,0.08,0.75,0.57
