League,Season,Name,Position,Draft.Eligible,Team,Height,Birth Date,GP,G,A1,A2,PTS,PRIMARY.PTS,TEAM.PRIMARY.PTS,PERC.TEAM.PrPTS,Shots,Team.Shots,SH.PERC,PERC.TEAM.SHOTS,PERC.TEAM.PTS,PTSPG
OHL,2017-18 Regular Season,Marcus Crawford,D,N,Saginaw Spirit,5.11,1997-03-21,68,13,16,24,53,29,379,0.08,228,2584,0.06,0.09,0.1,0.78
OHL,2017-18 Regular Season,Ryan Moore,F,N,Flint Firebirds,5.08,1997-04-09,63,18,21,21,60,39,487,0.08,176,2584,0.1,0.07,0.09,0.95
OHL,2017-18 Regular Season,Liam Murray,D,N,Kingston Frontenacs,6.00,1997-06-28,63,1,4,3,8,5,458,0.01,63,2584,0.02,0.02,0.01,0.13
OHL,2017-18 Regular Season,Justin Lemcke,D,N,Hamilton Bulldogs,6.02,1997-02-13,59,9,6,11,26,15,487,0.03,107,2584,0.08,0.04,0.04,0.44
OHL,2017-18 Regular Season,Aaron Luchuk,F,N,Barrie Colts,5.10,1997-04-05,68,50,36,29,115,86,400,0.22,281,2584,0.18,0.11,0.21,1.69
OHL,2017-18 Regular Season,Hayden McCool,F,N,Oshawa Generals,6.03,1997-04-11,59,15,7,8,30,22,468,0.05,108,2584,0.14,0.04,0.05,0.51
OHL,2017-18 Regular Season,Brett McKenzie,F,N,North Bay Battalion,6.01,1997-03-12,64,22,17,10,49,39,548,0.07,244,2584,0.09,0.09,0.07,0.77
OHL,2017-18 Regular Season,Matthew Kreis,F,N,Saginaw Spirit,5.11,1997-08-01,9,1,1,1,3,2,379,0.01,23,2584,0.04,0.01,0.01,0.33
OHL,2017-18 Regular Season,Tyler MacArthur,D,N,Barrie Colts,6.04,1997-05-25,5,0,1,0,1,1,576,0,2,2584,0,0,0,0.2
OHL,2017-18 Regular Season,Ethan Szypula,F,N,Owen Sound Attack,5.11,1997-01-28,67,19,25,12,56,44,548,0.08,177,2584,0.11,0.07,0.07,0.84
OHL,2017-18 Regular Season,Mason Kohn,F,N,Oshawa Generals,6.00,1997-05-03,64,20,19,15,54,39,379,0.1,159,2584,0.13,0.06,0.1,0.84
OHL,2017-18 Regular Season,Doug Blaisdell,D,N,Kitchener Rangers,6.02,1997-02-20,66,1,5,9,15,6,469,0.01,82,2584,0.01,0.03,0.02,0.23
OHL,2017-18 Regular Season,Garrett McFadden,D,N,Guelph Storm,5.11,1997-08-21,68,6,14,24,44,20,438,0.05,163,2584,0.04,0.06,0.07,0.65
OHL,2017-18 Regular Season,Connor Schlichting,D,N,Sarnia Sting,6.03,1997-05-17,67,6,13,20,39,19,573,0.03,110,2584,0.05,0.04,0.05,0.58
OHL,2017-18 Regular Season,Nikita Korostelev,F,N,Peterborough Petes,6.01,1997-02-08,64,30,34,11,75,64,425,0.15,217,2584,0.14,0.08,0.13,1.17
OHL,2017-18 Regular Season,Riley Bruce,D,N,North Bay Battalion,6.07,1997-07-16,67,5,6,9,20,11,398,0.03,122,2584,0.04,0.05,0.04,0.3
OHL,2017-18 Regular Season,Sean Day,D,N,Kingston Frontenacs,6.03,1998-01-09,50,5,17,25,47,22,400,0.06,120,2584,0.04,0.05,0.09,0.94
OHL,2017-18 Regular Season,Johnny Corneil,F,N,Niagara IceDogs,5.11,1997-08-16,64,21,18,9,48,39,466,0.08,168,2584,0.12,0.07,0.07,0.75
OHL,2017-18 Regular Season,Maurizio Colella,F,N,Flint Firebirds,6.00,1997-03-21,67,23,22,16,61,45,360,0.12,231,2584,0.1,0.09,0.13,0.91
OHL,2017-18 Regular Season,Connor Walters,D,N,Hamilton Bulldogs,6.01,1997-06-05,56,3,6,4,13,9,487,0.02,60,2584,0.05,0.02,0.02,0.23
OHL,2017-18 Regular Season,Ted Nichol,F,N,Kingston Frontenacs,5.11,1997-01-04,68,7,19,8,34,26,458,0.06,141,2584,0.05,0.05,0.05,0.5
OHL,2017-18 Regular Season,Hayden Verbeek,F,N,Sault Ste. Marie Greyhounds,5.09,1997-10-17,67,30,17,14,61,47,610,0.08,174,2584,0.17,0.07,0.07,0.91
OHL,2017-18 Regular Season,Stephen Gibson,D,N,Mississauga Steelheads,6.03,1997-03-03,68,1,4,5,10,5,476,0.01,78,2584,0.01,0.03,0.02,0.15
OHL,2017-18 Regular Season,James McEwan,F,N,Guelph Storm,5.11,1997-03-15,64,13,8,14,35,21,438,0.05,220,2584,0.06,0.09,0.06,0.55
OHL,2017-18 Regular Season,Alex Di Carlo,D,N,Oshawa Generals,6.04,1997-03-25,45,4,5,2,11,9,468,0.02,62,2584,0.06,0.02,0.02,0.24
OHL,2017-18 Regular Season,Stephen Templeton,D,N,Hamilton Bulldogs,6.02,1997-01-26,12,0,0,0,0,0,487,0,8,2584,0,0,0,0
OHL,2017-18 Regular Season,Keaton Middleton,D,N,Saginaw Spirit,6.06,1998-02-10,64,4,8,12,24,12,379,0.03,126,2584,0.03,0.05,0.05,0.38
OHL,2017-18 Regular Season,Cliff Pu,F,N,Kingston Frontenacs,6.02,1998-06-03,65,29,39,16,84,68,442,0.15,209,2584,0.14,0.08,0.14,1.29
OHL,2017-18 Regular Season,Sam Field,F,N,Kingston Frontenacs,6.01,1998-02-04,14,5,0,0,5,5,458,0.01,19,2584,0.26,0.01,0.01,0.36
OHL,2017-18 Regular Season,Reagan O'Grady,D,N,Mississauga Steelheads,6.02,1998-12-15,55,6,5,8,19,11,380,0.03,85,2584,0.07,0.03,0.04,0.35
OHL,2017-18 Regular Season,Tye Felhaber,F,N,Ottawa 67's,5.11,1998-08-05,68,31,24,15,70,55,423,0.13,250,2584,0.12,0.1,0.12,1.03
